ID,Name,Categories,,,,,,Neighborhoods
2516,El Rinconcito Cafe II,Latin American,Mexican,,,,,Columbia Heights
2382,Old Engine 12 Restaurant,American (New),,,,,,Bloomingdale
2415,Boxcar Tavern,Breakfast & Brunch,American (New),Cocktail Bars,,,,Capitol Hill
2532,Meridian Pint,Bars,American (Traditional),,,,,Columbia Heights
2478,Jackpot,Cocktail Bars,,,,,,Chinatown
2669,GBD,Bars,Breakfast & Brunch,American (Traditional),,,,Dupont Circle
2373,Town Tavern,Bars,,,,,,Adams Morgan
2972,Cure Bar & Bistro,American (New),Tapas/Small Plates,,,,
2366,Roofers Union,Bars,Burgers,Sandwiches,,,,Adams Morgan
2977,District Chophouse & Brewery,Steakhouses,,,,,,Penn Quarter
2885,Baan Thai / Tsunami Sushi,Thai,,,,,,Logan Circle
3116,Lost Society,Steakhouses,,,,,,U Street Corridor
2886,B Too,Belgian,French,,,,,Logan Circle
3099,Izakaya Seki,Japanese,,,,,
2379,Boundary Stone Public House,American (New),Pubs,Sandwiches,,,,Bloomingdale
2408,Béarnaise,French,Cafes,Steakhouses,,,,Capitol Hill
2549,Bottom Line,American (Traditional),Dive Bars,,,,
2400,Steel Plate,Cocktail Bars,Comfort Food,,,,,Brookland
2365,Perry's Restaurant,Sushi Bars,Japanese,,,,,Adams Morgan
3086,Chi-Cha Lounge,Latin American,Lounges,Hookah Bars,,,,U Street Corridor
2616,Smith & Wollensky,Steakhouses,Seafood,,,,
2617,Stonefish Grill,Seafood,,,,,
3176,La Fromagerie,Cheese Shops,Meat Shops,Wine Bars,,,,Old Town Alexandria
2846,The Elroy H St.,Lounges,,,,,
2328,Cashion's Eat Place,American (Traditional),,,,,,Adams Morgan
2678,Hank's Oyster Bar,Seafood,Lounges,,,,,Dupont Circle
2394,Nido,Mediterranean,Bars,,,,,Brookland
2598,Le Bar,Bars,,,,,
2361,Mellow Mushroom Pizza Bakers,Lounges,Coffee & Tea,American (Traditional),,,,Adams Morgan
2582,Olivia's Diner,Breakfast & Brunch,Diners,,,,
2940,Bravo Bar,Bars,,,,,
2686,Raku,Sushi Bars,Asian Fusion,,,,
2615,Science Club,Lounges,Vegetarian,,,,
2640,Buffalo Billiards,Pool Halls,Sports Bars,,,,,Dupont Circle
2614,Rural Society,Argentine,Desserts,Cocktail Bars,,,
3001,NoPa Kitchen + Bar,American (New),,,,,,Penn Quarter
2576,Fast Eddie's Sports & Billiards,Pool Halls,Sports Bars,,,,
2731,Ancora,Italian,,,,,,Foggy Bottom
2743,Lindy's Red Lion,Burgers,Sandwiches,,,,,Foggy Bottom
2946,Top Spanish Cafe And Catering,Spanish,Caterers,,,,,Park View
2468,Carving Room Kitchen & Bar,Delis,"Beer, Wine & Spirits",,,,
2445,Tunnicliff's Tavern,American (Traditional),Bars,,,,,Capitol Hill
2404,Art and Soul,American (New),,,,,
2453,Satellite Room,Bars,Diners,Burgers,,,
3084,Duffy's Irish Pub,Pubs,Irish,,,,
2771,Café Bonaparte,French,Creperies,,,,,Georgetown
2980,Fiola da Fabio Trabocchi,Italian,,,,,,Penn Quarter
2591,Rasoi Indian Kitchen,Indian,,,,,
2330,Heaven and Hell,Dance Clubs,,,,,,Adams Morgan
3018,The Pitch Tavern,Sports Bars,American (Traditional),,,,
2810,Paolo's Ristorante,Italian,Pizza,,,,,Georgetown
2759,Range,American (New),Seafood Markets,,,,,Friendship Heights
2909,Slipstream,Coffee & Tea,Cocktail Bars,American (New),,,,Logan Circle
2910,Stoney's Restaurant,Bars,American (Traditional),American (New),,,,Logan Circle
2745,GCDC,American (Traditional),Comfort Food,,,,,Foggy Bottom
3173,Red Light,Bars,,,,,,Logan Circle
2465,Clyde's,American (Traditional),Bars,Seafood,,,
3012,Toro Toro,Latin American,,,,,
2426,La Lomita,Tex-Mex,,,,,,Capitol Hill
3013,UltraBar,Bars,Dance Clubs,Venues & Event Spaces,,,
2706,Teddy & The Bully Bar,American (New),Bars,,,,,Dupont Circle
2610,The Park at 14th,American (New),Dance Clubs,,,,
2637,The Board Room,Sports Bars,Lounges,,,,
3003,Old Ebbitt Grill,Bars,Breakfast & Brunch,Sandwiches,,,
3090,Compass Rose,Mediterranean,Ethnic Food,Gastropubs,,,
3050,Trusty's,Dive Bars,,,,,,Barney Circle,Capitol Hill
2854,Le Grenier,French,Breakfast & Brunch,,,,,H Street Corridor/Atlas District/Near Northeast
2620,Woodward Table,American (New),,,,,
2635,Bistro Bistro,French,Italian,Mediterranean,,,,Dupont Circle
3100,Dunya Restaurant and Bar,Mediterranean,American (New),Bars,,,
2987,Hill Country Backyard Barbecue,Barbeque,,,,,
3215,A BAR + Kitchen,Lounges,,,,,,Foggy Bottom
2877,Toscana Cafe,Italian,,,,,,H Street Corridor/Atlas District/Near Northeast
2488,Vapiano,Italian,Pizza,,,,
2509,Siam House,Thai,,,,,,Cleveland Park
3161,Macintyre's,Sandwiches,Tapas Bars,Pubs,,,,Woodley Park
3037,Lost & Found,Cocktail Bars,,,,,,Shaw
2407,Bistro Cacao,French,Brasseries,,,,,Capitol Hill
3064,Yosaku,Japanese,Sushi Bars,,,,,Tenleytown
3065,Tenley Bar & Grill,American (New),Gastropubs,Pizza,,,,Tenleytown
3067,Mad Hatter,Bars,American (Traditional),Breakfast & Brunch,,,,Dupont Circle
3250,Elephant & Castle,British,Pubs,,,,
2753,Acacia Bistro,Wine Bars,Mediterranean,,,,,Van Ness/Forest Hills
3160,Hot N Juicy Crawfish,Seafood,Cajun/Creole,,,,,Woodley Park
